,date,openEUR,highEUR,lowEUR,closeEUR,volumeEUR,barCountEUR,averageEUR,openJPY,highJPY,lowJPY,closeJPY,volumeJPY,barCountJPY,averageJPY,openVIXF,highVIXF,lowVIXF,closeVIXF,volumeVIXF,barCountVIXF,averageVIXF,openVIXN,highVIXN,lowVIXN,closeVIXN,volumeVIXN,barCountVIXN,averageVIXN,openGC,highGC,lowGC,closeGC,volumeGC,barCountGC,averageGC,openZB,highZB,lowZB,closeZB,volumeZB,barCountZB,averageZB,openZN,highZN,lowZN,closeZN,volumeZN,barCountZN,averageZN,openZT,highZT,lowZT,closeZT,volumeZT,barCountZT,averageZT,openNQ,highNQ,lowNQ,closeNQ,volumeNQ,barCountNQ,averageNQ,openYM,highYM,lowYM,closeYM,volumeYM,barCountYM,averageYM,openES,highES,lowES,closeES,volumeES,barCountES,averageES
0,2018-01-16 22:40:00,1.221025,1.221075,1.219975,1.220625,-1,-1,-1.0,110.7425,110.8825,110.7275,110.84,-1,-1,-1.0,13.95,14.0,13.95,13.95,10,4,13.955,13.55,13.55,13.5,13.5,75,21,13.545,1344.4,1344.4,1342.3,1343.2,27,13,1343.12,149.84375,149.84375,149.84375,149.84375,0,0,149.84375,122.703125,122.703125,122.703125,122.703125,4,1,122.703125,106.7421875,106.7421875,106.7421875,106.7421875,3,3,106.7421875,6855.0,6866.25,6854.0,6861.25,15,12,6860.65,26025.0,26066.0,26025.0,26053.0,7,5,26046.4,2808.25,2811.25,2808.0,2809.75,66,45,2809.375
1,2018-01-16 22:50:00,1.220625,1.221475,1.220525,1.220875,-1,-1,-1.0,110.84,110.8575,110.7975,110.8175,-1,-1,-1.0,13.95,13.95,13.95,13.95,3,1,13.95,13.5,13.55,13.5,13.5,17,10,13.53,1343.1,1343.1,1343.1,1343.1,1,1,1343.1,149.84375,149.84375,149.84375,149.84375,0,0,149.84375,122.703125,122.703125,122.703125,122.703125,0,0,122.703125,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6859.25,6863.75,6855.75,6855.75,36,17,6858.7,26049.0,26068.0,26046.0,26068.0,4,4,26055.7,2810.25,2812.0,2809.5,2810.5,62,32,2810.575
2,2018-01-16 23:00:00,1.220875,1.222125,1.220725,1.222075,-1,-1,-1.0,110.8175,110.8225,110.7525,110.7675,-1,-1,-1.0,14.0,14.0,14.0,14.0,108,9,14.0,13.5,13.6,13.5,13.6,87,22,13.55,1344.0,1344.2,1344.0,1344.2,18,4,1344.12,149.84375,149.84375,149.84375,149.84375,0,0,149.84375,122.703125,122.703125,122.703125,122.703125,0,0,122.703125,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6858.0,6858.0,6854.0,6856.75,27,15,6856.175,26068.0,26068.0,26068.0,26068.0,0,0,26068.0,2810.0,2810.0,2808.0,2808.5,38,19,2808.775
3,2018-01-16 23:10:00,1.222075,1.222175,1.221575,1.222175,-1,-1,-1.0,110.7675,110.8425,110.7675,110.8175,-1,-1,-1.0,14.0,14.05,14.0,14.05,310,11,14.05,13.6,13.65,13.55,13.55,209,45,13.595,1344.7,1344.7,1344.2,1344.3,13,9,1344.55,149.84375,149.84375,149.84375,149.84375,0,0,149.84375,122.703125,122.703125,122.703125,122.703125,0,0,122.703125,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6855.5,6862.0,6855.5,6862.0,10,7,6858.95,26068.0,26068.0,26065.0,26065.0,2,2,26066.5,2808.75,2810.0,2808.75,2809.75,27,10,2809.175
4,2018-01-16 23:20:00,1.222175,1.222575,1.221575,1.221625,-1,-1,-1.0,110.8175,110.8225,110.7525,110.81,-1,-1,-1.0,14.05,14.05,14.05,14.05,2,2,14.05,13.6,13.65,13.6,13.6,214,43,13.6,1344.6,1344.7,1344.3,1344.3,6,5,1344.48,149.84375,149.84375,149.84375,149.84375,0,0,149.84375,122.703125,122.703125,122.703125,122.703125,0,0,122.703125,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6858.0,6858.0,6846.0,6850.0,13,11,6850.525,26055.0,26055.0,26045.0,26045.0,4,3,26050.0,2809.75,2809.75,2806.5,2806.75,41,26,2807.65
5,2018-01-16 23:30:00,1.221625,1.222375,1.221575,1.221975,-1,-1,-1.0,110.81,110.81,110.7075,110.7325,-1,-1,-1.0,14.05,14.1,14.0,14.1,124,24,14.08,13.55,13.65,13.55,13.65,297,68,13.635,1344.4,1344.9,1344.2,1344.6,21,18,1344.53,149.78125,149.78125,149.78125,149.78125,1,1,149.78125,122.625,122.625,122.625,122.625,4,1,122.625,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6850.25,6850.25,6834.0,6834.0,20,14,6841.325,26024.0,26024.0,25978.0,25978.0,2,2,26001.0,2807.25,2807.25,2798.75,2800.25,86,47,2802.7
6,2018-01-16 23:40:00,1.221975,1.222825,1.221975,1.222425,-1,-1,-1.0,110.7325,110.7475,110.6975,110.725,-1,-1,-1.0,14.1,14.1,14.05,14.05,42,8,14.05,13.6,13.65,13.55,13.55,220,33,13.6,1344.7,1345.3,1344.3,1345.3,22,20,1344.72,149.78125,149.78125,149.78125,149.78125,0,0,149.78125,122.625,122.625,122.625,122.625,0,0,122.625,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6839.75,6849.0,6839.75,6849.0,10,10,6845.875,25988.0,26001.0,25988.0,25994.0,6,4,25991.3,2801.75,2803.25,2801.75,2802.75,20,12,2802.825
7,2018-01-16 23:50:00,1.222425,1.223375,1.222425,1.222925,-1,-1,-1.0,110.725,110.7425,110.6425,110.6775,-1,-1,-1.0,14.05,14.1,14.05,14.1,49,8,14.075,13.55,13.65,13.55,13.65,48,19,13.605,1345.1,1345.8,1345.1,1345.8,15,15,1345.39,149.78125,149.78125,149.78125,149.78125,0,0,149.78125,122.65625,122.65625,122.65625,122.65625,4,3,122.65625,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6843.5,6843.5,6833.0,6833.75,8,7,6838.925,25980.0,25980.0,25950.0,25950.0,3,3,25964.7,2803.25,2803.25,2797.5,2798.5,80,34,2799.825
8,2018-01-17 00:00:00,1.222925,1.223375,1.222675,1.223275,-1,-1,-1.0,110.6775,110.7775,110.6725,110.7375,-1,-1,-1.0,14.1,14.1,14.1,14.1,60,12,14.1,13.6,13.65,13.55,13.6,249,46,13.61,1345.3,1345.3,1344.8,1345.2,12,9,1345.1,149.78125,149.78125,149.78125,149.78125,0,0,149.78125,122.65625,122.65625,122.65625,122.65625,0,0,122.65625,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6831.25,6836.5,6826.25,6826.25,22,15,6830.675,25949.0,25959.0,25949.0,25959.0,2,2,25954.0,2798.0,2800.5,2796.0,2796.0,70,40,2797.925
9,2018-01-17 00:10:00,1.223275,1.223675,1.223025,1.223325,-1,-1,-1.0,110.7375,110.7675,110.7125,110.7375,-1,-1,-1.0,14.1,14.1,14.1,14.1,52,11,14.1,13.6,13.65,13.6,13.6,161,23,13.65,1344.3,1345.3,1344.1,1344.8,29,18,1344.52,149.5,149.5,149.5,149.5,1,1,149.5,122.65625,122.65625,122.65625,122.65625,0,0,122.65625,106.7421875,106.7421875,106.7421875,106.7421875,0,0,106.7421875,6826.75,6829.0,6817.0,6826.5,56,26,6824.125,25945.0,25945.0,25928.0,25938.0,4,4,25939.0,2797.75,2798.0,2794.5,2797.75,31,21,2796.125
