date,open,high,low,close,volume,barCount,average
2015-01-12,128.7,128.8,126.2,127.1,15618900,7567,127.55145
2015-01-13,125.6,128.3,125.2,127.8,15281600,6962,126.59100000000001
2015-01-14,126.7,127.7,125.1,126.0,15826600,6479,126.1999
2015-01-15,125.5,127.0,124.1,126.9,14878200,6298,125.29615
2015-01-16,125.0,125.0,121.6,121.9,23635900,8621,122.8557
2015-01-19,124.3,125.2,122.2,123.0,20271200,15516,123.70615
2015-01-20,123.6,124.8,123.3,124.1,9986400,4404,124.12515
2015-01-21,126.2,128.9,125.2,128.7,31462900,10398,128.0783
2015-01-22,130.5,132.0,129.7,131.6,36048200,12943,131.42725
2015-01-23,134.5,134.9,131.1,132.7,28224700,9586,132.9614
2015-01-26,136.7,137.1,134.3,137.0,31504700,13812,136.0851
2015-01-27,137.8,138.0,133.0,136.0,22404400,8882,135.18385
2015-01-28,136.2,137.0,134.7,136.9,14980100,5705,136.31615
2015-01-29,136.0,136.4,133.8,134.6,13523300,5619,134.91925
2015-01-30,135.0,135.3,129.5,132.0,27039300,11837,131.3262
2015-02-02,130.0,136.8,130.0,135.8,15792400,6618,134.3238
2015-02-03,135.5,137.3,133.0,135.1,13648900,7094,135.1615
2015-02-04,135.3,136.1,133.3,133.9,8773600,6240,134.5964
2015-02-05,137.0,137.0,133.0,135.2,16988100,6229,134.9572
2015-02-06,135.6,136.3,134.0,134.2,10141300,6435,135.0797
2015-02-09,133.5,133.6,131.8,132.6,11539300,5034,132.69255
2015-02-10,132.4,134.0,132.0,133.0,11331500,5185,133.08225
2015-02-11,134.0,134.0,131.4,131.6,11400100,4723,132.1556
2015-02-12,130.0,130.9,128.0,129.6,22572200,7732,129.4279
2015-02-13,129.6,132.3,129.1,130.2,14657200,6255,130.6251
2015-02-16,130.3,132.3,130.0,130.5,9605300,5230,130.9345
2015-02-17,130.6,132.0,130.3,130.8,8075400,3234,131.0333
2015-02-18,131.1,131.4,129.5,129.9,7060100,3396,130.11095
2015-02-23,132.6,135.3,131.1,134.8,22634900,7231,133.3737
2015-02-24,135.8,136.4,133.8,135.1,15781700,6161,134.81215
2015-02-25,134.4,136.4,133.6,135.8,18139600,6507,135.36205
2015-02-26,134.5,136.4,134.4,135.6,19209100,7768,135.6852
2015-02-27,135.8,136.7,134.7,135.9,15868700,5158,136.1714
2015-03-02,136.7,137.0,134.0,136.7,11522900,6530,135.73255
2015-03-03,137.1,138.0,135.0,135.3,15709800,6991,136.79795
2015-03-04,134.5,134.7,133.0,133.3,10980700,5105,133.8302
2015-03-05,132.3,134.6,131.8,132.1,11568200,5856,132.5623
2015-03-06,132.2,133.1,131.0,131.7,11647700,6547,131.7802
2015-03-09,131.8,133.7,130.8,132.2,11817400,6596,132.69385
2015-03-10,132.5,132.7,130.7,131.1,11889200,6231,131.40555
2015-03-11,131.5,132.5,131.1,131.7,12815200,11658,131.71995
2015-03-12,130.9,132.2,130.2,131.8,14485100,7047,131.2379
2015-03-13,132.8,134.8,131.7,133.6,13870700,5877,133.186
2015-03-16,133.0,136.3,131.7,135.6,18008600,6814,134.95395
2015-03-17,137.1,137.5,133.1,133.8,16613700,7137,135.01435
2015-03-18,134.6,137.3,134.2,135.9,20245000,7637,136.11785
2015-03-19,137.9,145.3,136.7,145.0,62017800,17138,140.6445
2015-03-20,146.4,148.8,141.1,142.6,65397800,14249,144.6011
2015-03-23,144.2,146.5,142.7,145.2,26433300,8752,145.0021
2015-03-24,146.5,146.6,142.7,143.0,15569500,7318,143.8826
2015-03-25,142.9,145.1,141.6,142.7,20088400,7322,143.03505
2015-03-26,141.6,142.8,140.6,140.8,16258600,6578,141.3501
2015-03-27,143.0,143.0,140.3,141.9,14812200,7073,141.13785
2015-03-30,145.8,146.8,144.0,144.7,21330500,8861,145.5182
2015-03-31,150.0,151.3,146.2,147.2,19954900,7977,147.3911
2015-04-01,148.4,148.6,146.6,148.0,14749800,6077,147.69295
2015-04-02,148.9,150.0,147.3,149.8,12813800,7009,148.554
2015-04-08,151.9,155.0,151.0,154.5,29215700,13076,152.5535
2015-04-09,158.5,170.4,158.5,159.9,62108700,21630,163.0893
2015-04-10,161.0,164.0,158.1,161.8,35488600,13004,160.0042
2015-04-13,164.5,171.0,162.5,170.5,40204400,13021,166.80915
2015-04-14,161.3,163.9,156.4,161.2,55828200,17745,161.6372
2015-04-15,160.0,160.0,155.5,157.6,43773400,15807,157.44995
2015-04-16,156.3,161.5,155.0,160.0,31232000,15467,158.65305
2015-04-17,158.0,160.7,158.0,158.8,20401500,7776,159.34855
2015-04-20,159.0,159.8,152.5,153.1,26820700,11542,155.35945
2015-04-21,153.1,159.8,153.1,159.1,22102500,10335,158.1944
2015-04-22,158.7,164.3,158.6,162.7,23452000,9168,162.35415
2015-04-23,164.7,165.6,160.7,160.9,20535200,8818,163.3147
